date,price
2014-09-24,3280.9624
2014-09-25,3276.1116
2014-09-26,3279.3658
2014-09-29,3298.9644
2014-09-30,3309.7111
2014-10-08,3351.1852
2014-10-09,3356.6678
2014-10-10,3337.8659
2014-10-13,3326.7776
2014-10-14,3315.499
2014-10-15,3336.2632
2014-10-16,3301.5008
2014-10-17,3289.8895
2014-10-20,3315.8855
2014-10-21,3286.6215
2014-10-22,3260.9517
2014-10-23,3225.3351
2014-10-24,3224.2882
2014-10-27,3210.5
2014-10-28,3278.9733
2014-10-29,3325.3033
2014-10-30,3342.163
2014-10-31,3378.3585
2014-11-03,3390.8084
2014-11-04,3386.3705
2014-11-05,3375.6725
2014-11-06,3384.0287
2014-11-07,3370.8122
2014-11-10,3441.9496
2014-11-11,3405.3481
2014-11-12,3456.0194
2014-11-13,3433.4858
2014-11-14,3432.355
2014-11-17,3428.806
2014-11-18,3406.2295
2014-11-19,3405.7255
2014-11-20,3403.5181
2014-11-21,3458.5752
2014-11-24,3537.5373
2014-11-25,3587.3748
2014-11-26,3628.0006
2014-11-27,3665.3268
2014-11-28,3715.7384
2014-12-01,3718.7798
2014-12-02,3831.6062
2014-12-03,3885.2887
2014-12-04,4037.8333
2014-12-05,4033.7982
2014-12-08,4171.1574
2014-12-09,3989.0939
2014-12-10,4133.6825
2014-12-11,4113.086
2014-12-12,4130.525
2014-12-15,4171.8196
2014-12-16,4257.5109
2014-12-17,4301.0574
2014-12-18,4287.4332
2014-12-19,4315.4247
2014-12-22,4280.9642
2014-12-23,4192.6707
2014-12-24,4117.9909
2014-12-25,4237.7008
2014-12-26,4353.4708
2014-12-29,4351.1592
2014-12-30,4334.0801
2014-12-31,4415.4247
2015-01-05,4536.1543
2015-01-06,4548.6357
2015-01-07,4552.9219
2015-01-08,4464.3441
2015-01-09,4446.121
2015-01-12,4399.1757
2015-01-13,4414.5624
2015-01-14,4398.4333
2015-01-15,4508.3185
2015-01-16,4552.0879
2015-01-19,4239.8319
2015-01-20,4317.5736
2015-01-21,4489.7353
2015-01-22,4523.4517
2015-01-23,4515.6576
2015-01-26,4575.5385
2015-01-27,4547.4681
2015-01-28,4493.8327
2015-01-29,4444.9364
2015-01-30,4386.2888
2015-02-02,4305.8113
2015-02-03,4404.4709
2015-02-04,4365.9925
2015-02-05,4327.2214
2015-02-06,4251.4305
2015-02-09,4276.8272
2015-02-10,4349.7651
2015-02-11,4387.8662
2015-02-12,4404.2182
2015-02-13,4447.6222
2015-02-16,4496.131
2015-02-17,4526.1059
2015-02-25,4484.1667
2015-02-26,4579.4713
2015-02-27,4595.6642
2015-03-02,4647.2905
2015-03-03,4555.1239
2015-03-04,4595.5138
2015-03-05,4562.789
2015-03-06,4530.4366
2015-03-09,4602.4039
2015-03-10,4599.4647
2015-03-11,4600.494
2015-03-12,4664.1693
2015-03-13,4701.747
2015-03-16,4822.932
2015-03-17,4892.1081
2015-03-18,4998.3575
2015-03-19,5003.5765
2015-03-20,5067.3476
2015-03-23,5176.2253
2015-03-24,5183.0841
2015-03-25,5168.5021
2015-03-26,5167.1988
2015-03-27,5204.3218
2015-03-30,5332.2967
2015-03-31,5299.0583
2015-04-01,5402.9011
2015-04-02,5431.3831
2015-04-03,5498.7081
2015-04-07,5620.8548
2015-04-08,5643.2076
2015-04-09,5599.1985
2015-04-10,5718.9484
2015-04-13,5826.4725
2015-04-14,5842.2288
2015-04-15,5723.3807
2015-04-16,5871.1025
2015-04-17,5962.919
2015-04-20,5864.1723
2015-04-21,6011.6745
2015-04-22,6168.6468
2015-04-23,6187.6335
2015-04-24,6153.5113
2015-04-27,6271.5872
2015-04-28,6159.1908
2015-04-29,6223.148
2015-04-30,6210.3826
2015-05-04,6254.59
2015-05-05,6011.0045
2015-05-06,5946.1786
2015-05-07,5831.0112
2015-05-08,5976.1044
2015-05-11,6173.9443
2015-05-12,6266.3052
2015-05-13,6255.4628
2015-05-14,6236.8613
2015-05-15,6144.2492
2015-05-18,6137.7509
2015-05-19,6330.3632
2015-05-20,6384.7951
2015-05-21,6536.4715
2015-05-22,6673.7997
2015-05-25,6867.2204
2015-05-26,7029.6376
2015-05-27,7041.3519
2015-05-28,6586.0287
2015-05-29,6612.8929
2015-06-01,6942.2015
2015-06-02,7104.9533
2015-06-03,7110.261
2015-06-04,7143.2804
2015-06-05,7226.5838
2015-06-08,7319.8383
2015-06-09,7282.3087
2015-06-10,7315.3891
2015-06-11,7346.4504
2015-06-12,7411.0081
2015-06-15,7260.1961
2015-06-16,7021.2198
2015-06-17,7136.6829
2015-06-18,6864.5504
2015-06-19,6438.1184
2015-06-23,6595.9108
2015-06-24,6730.5009
2015-06-25,6492.3528
2015-06-26,5973.2055
2015-06-29,5715.7502
2015-06-30,6070.769
2015-07-01,5762.017
2015-07-02,5507.3525
2015-07-03,5206.9046
2015-07-06,5291.7394
2015-07-07,5132.5309
2015-07-08,4847.1884
2015-07-09,5132.3376
2015-07-10,5405.5235
2015-07-13,5598.2415
2015-07-14,5535.6199
2015-07-15,5304.9188
2015-07-16,5369.9598
2015-07-17,5604.7508
2015-07-20,5638.1403
2015-07-21,5666.3381
2015-07-22,5680.0156
2015-07-23,5817.6416
2015-07-24,5720.5018
2015-07-27,5250.0738
2015-07-28,5213.617
2015-07-29,5403.8988
2015-07-30,5248.4314
2015-07-31,5234.9311
2015-08-03,5209.1759
2015-08-04,5404.9227
2015-08-05,5305.9717
2015-08-06,5262.7898
2015-08-07,5380.1817
2015-08-10,5628.0015
2015-08-11,5619.3199
2015-08-12,5550.7812
2015-08-13,5647.9724
2015-08-14,5665.3299
2015-08-17,5709.0206
2015-08-18,5332.8083
2015-08-19,5427.7575
2015-08-20,5249.0381
2015-08-21,4995.6005
2015-08-24,4570.6012
2015-08-25,4240.5841
2015-08-26,4174.8429
2015-08-27,4392.0697
2015-08-28,4601.9102
2015-08-31,4572.3161
2015-09-01,4484.6406
2015-09-02,4478.8081
2015-09-07,4372.0309
2015-09-08,4499.2527
2015-09-09,4598.4869
2015-09-10,4535.8934
2015-09-11,4536.6338
2015-09-14,4383.2806
2015-09-15,4190.0175
2015-09-16,4417.5627
2015-09-17,4323.8383
2015-09-18,4352.155
2015-09-21,4450.2274
2015-09-22,4489.0722
2015-09-23,4402.1706
2015-09-24,4441.7369
2015-09-25,4348.8086
2015-09-28,4381.7385
2015-09-29,4296.7685
2015-09-30,4324.0929
2015-10-08,4464.5197
2015-10-09,4526.2873
2015-10-12,4680.6668
2015-10-13,4695.0186
2015-10-14,4641.8172
2015-10-15,4760.9892
2015-10-16,4830.4491
2015-10-19,4830.5235
2015-10-20,4895.7497
2015-10-21,4704.1977
2015-10-22,4804.5062
2015-10-23,4884.7004
2015-10-26,4911.8782
2015-10-27,4924.4067
2015-10-28,4822.0023
2015-10-29,4842.2384
2015-10-30,4838.1247
2015-11-02,4752.0816
2015-11-03,4738.692
2015-11-04,4966.234
2015-11-05,5042.5297
2015-11-06,5161.21
2015-11-09,5226.088
2015-11-10,5225.5529
2015-11-11,5248.1499
2015-11-12,5210.7971
2015-11-13,5140.5927
2015-11-16,5188.5511
2015-11-17,5169.1551
2015-11-18,5102.9497
2015-11-19,5198.968
2015-11-20,5216.1664
2015-11-23,5183.3212
2015-11-24,5194.8539
2015-11-25,5246.6378
2015-11-26,5215.4946
2015-11-27,4919.6815
2015-11-30,4935.2892
2015-12-01,4966.8408
2015-12-02,5084.6099
2015-12-03,5144.2815
2015-12-04,5063.2963
2015-12-07,5091.2713
2015-12-08,4988.9568
2015-12-09,4995.3617
2015-12-10,4978.1076
2015-12-11,4951.5905
2015-12-14,5081.2627
2015-12-15,5076.8946
2015-12-16,5075.2234
2015-12-17,5181.1038
2015-12-18,5189.098
2015-12-21,5301.1659
2015-12-22,5325.5075
2015-12-23,5298.4067
2015-12-24,5258.9086
2015-12-25,5275.3866
2015-12-28,5130.8088
2015-12-29,5178.1856
2015-12-30,5195.0998
2015-12-31,5136.9956
2016-01-04,4755.8227
2016-01-05,4745.779
2016-01-06,4840.3851
2016-01-07,4481.3848
2016-01-08,4567.9054
2016-01-11,4315.1678
2016-01-12,4339.0524
2016-01-13,4238.0235
2016-01-14,4342.2821
2016-01-15,4196.3231
2016-01-18,4225.3614
2016-01-19,4358.6652
2016-01-20,4299.9829
2016-01-21,4159.1858
2016-01-22,4209.2063
2016-01-25,4236.462
2016-01-26,3963.2083
2016-01-27,3938.0189
2016-01-28,3814.7218
2016-01-29,3943.7821
2016-02-01,3886.364
2016-02-02,3982.5666
2016-02-03,3975.2796
2016-02-04,4032.7484
2016-02-05,4000.8947
2016-02-15,3985.3506
2016-02-16,4120.0308
2016-02-17,4159.3535
2016-02-18,4147.2112
2016-02-19,4149.8013
2016-02-22,4239.7254
2016-02-23,4204.6683
2016-02-24,4232.319
2016-02-25,3949.9681
2016-02-26,3983.4381
2016-02-29,3854.4487
2016-03-01,3930.7395
2016-03-02,4103.7099
2016-03-03,4115.3994
2016-03-04,4117.3045
2016-03-07,4154.7633
2016-03-08,4159.8994
2016-03-09,4095.3455
2016-03-10,4019.5532
2016-03-11,4021.7964
2016-03-14,4104.5546
2016-03-15,4102.7821
2016-03-16,4101.501
2016-03-17,4171.9688
2016-03-18,4259.5378
2016-03-21,4364.5874
2016-03-22,4337.0293
2016-03-23,4355.8379
2016-03-24,4283.2438
2016-03-25,4310.6684
2016-03-28,4275.6319
2016-03-29,4218.9338
2016-03-30,4340.6976
2016-03-31,4346.2012
2016-04-01,4343.466
2016-04-05,4417.5931
2016-04-06,4418.5283
2016-04-07,4352.9437
2016-04-08,4318.0066
2016-04-11,4388.3679
2016-04-12,4366.7986
2016-04-13,4426.8396
2016-04-14,4452.5398
2016-04-15,4445.5502
2016-04-18,4382.4897
2016-04-19,4397.5366
2016-04-20,4283.9606
2016-04-21,4253.8188
2016-04-22,4276.0781
2016-04-25,4257.1499
2016-04-26,4287.7974
2016-04-27,4269.2378
2016-04-28,4259.1999
2016-04-29,4255.1178
2016-05-03,4347.0912
2016-05-04,4343.8074
2016-05-05,4355.1044
2016-05-06,4227.4553
2016-05-09,4120.6376
2016-05-10,4123.052
2016-05-11,4133.1076
2016-05-12,4140.9208
2016-05-13,4123.9322
2016-05-16,4163.8905
2016-05-17,4151.4963
2016-05-18,4102.1888
2016-05-19,4104.6862
2016-05-20,4133.6
2016-05-23,4158.883
2016-05-24,4122.6326
2016-05-25,4113.0011
2016-05-26,4123.8051
2016-05-27,4121.2883
2016-05-30,4119.8614
2016-05-31,4268.09
2016-06-01,4265.0438
2016-06-02,4279.903
2016-06-03,4305.6253
2016-06-06,4302.4849
2016-06-07,4300.0077
2016-06-08,4285.1661
2016-06-13,4133.6689
2016-06-14,4146.4698
2016-06-15,4225.6901
2016-06-16,4202.4966
2016-06-17,4226.4939
2016-06-20,4233.7304
2016-06-21,4213.219
2016-06-22,4259.7776
2016-06-23,4240.2416
2016-06-24,4190.315
2016-06-27,4262.0599
2016-06-28,4291.9814
2016-06-29,4309.3378
2016-06-30,4313.9465
2016-07-01,4312.8877
2016-07-04,4387.0694
2016-07-05,4399.3815
2016-07-06,4415.4676
2016-07-07,4419.8765
2016-07-08,4404.2992
2016-07-11,4418.5708
2016-07-12,4503.5475
2016-07-13,4530.3728
2016-07-14,4526.7331
2016-07-15,4525.3606
2016-07-18,4505.6505
2016-07-19,4498.1625
2016-07-20,4485.2752
2016-07-21,4504.9851
2016-07-22,4468.2229
2016-07-25,4478.5328
2016-07-26,4534.3332
2016-07-27,4428.4045
2016-07-28,4434.2199
2016-07-29,4411.2144
2016-08-01,4365.0566
2016-08-02,4389.5718
2016-08-03,4400.2863
2016-08-04,4416.3407
2016-08-05,4413.6412
2016-08-08,4460.4006
2016-08-09,4493.2322
2016-08-10,4475.2644
2016-08-11,4446.9824
2016-08-12,4521.9087
2016-08-15,4648.0982
2016-08-16,4639.2131
2016-08-17,4638.42
2016-08-18,4630.7971
2016-08-19,4634.7679
2016-08-22,4590.5665
2016-08-23,4597.3997
2016-08-24,4588.1294
2016-08-25,4556.7297
2016-08-26,4561.2329
2016-08-29,4565.5212
2016-08-30,4569.2541
2016-08-31,4586.3731
2016-09-01,4549.7994
2016-09-02,4556.5562
2016-09-05,4570.1947
2016-09-06,4614.0847
2016-09-07,4612.6475
2016-09-08,4616.55
2016-09-09,4585.7499
2016-09-12,4493.7446
2016-09-13,4497.6871
2016-09-14,4467.8859
2016-09-19,4505.6106
2016-09-20,4499.6479
2016-09-21,4509.2912
2016-09-22,4541.867
2016-09-23,4523.7628
2016-09-26,4443.9606
2016-09-27,4473.4446
2016-09-28,4462.7457
2016-09-29,4479.6586
2016-09-30,4494.6386
2016-10-10,4559.4898
