date,ref_regime,log_return,w_held
2022-01-05,sideways,-0.0120557553026658,0.0
2022-01-06,sideways,-0.0075759460161116,0.0
2022-01-07,sideways,-0.0011666959087495,0.0
2022-01-10,sideways,0.0039351417719377,0.0
2022-01-11,sideways,-0.0091782882587216,0.0
2022-01-12,sideways,0.0096017216892553,0.0
2022-01-13,sideways,-0.0159273204218692,0.0
2022-01-14,sideways,-0.0068309592915035,0.0
2022-01-17,sideways,0.0090815857736357,0.0
2022-01-18,sideways,0.0074758188145138,0.0
2022-01-19,sideways,-0.0067152815434067,0.0
2022-01-20,sideways,0.0047462612840817,0.0
2022-01-21,sideways,-0.0097313320289472,0.0
2022-01-24,sideways,0.0012737279914686,0.0
2022-01-25,bull,-0.0255717475965835,0.0
2022-01-26,bull,0.0068592640025212,0.0
2022-01-27,bull,-0.0213481068144704,0.0
2022-01-28,bull,-0.010261909235217,0.0
2022-02-07,bull,0.0151039694641733,0.0
2022-02-08,bull,-0.0018825006812452,0.0
2022-02-09,bull,0.0106545637352969,0.0
2022-02-10,bull,-0.0020884693925222,0.0
2022-02-11,bull,-0.0096882786920409,0.0
2022-02-14,bull,-0.0100242417354555,0.0
2022-02-15,bull,0.010346916485765,0.0
2022-02-16,bull,0.0033713349070133,0.0
2022-02-17,bull,0.0017300286555657,0.0
2022-02-18,bull,0.0059389838717687,0.0
2022-02-21,bull,-0.0016579242065587,0.0
2022-02-22,bull,-0.0128268119574585,0.0
2022-02-23,bull,0.0116843487617875,0.0
2022-02-24,bull,-0.0198740082210773,0.0
2022-02-25,bull,0.0092916755490996,0.0
2022-02-28,bull,0.0025565882973448,0.0
2022-03-01,bull,0.0070062571727545,0.0
2022-03-02,bull,-0.006739409122503,0.0
2022-03-03,bull,-0.0050311474741102,0.0
2022-03-04,bull,-0.0112191948869137,0.0
2022-03-07,bull,-0.0297811420667008,0.0
2022-03-08,bull,-0.0238861296129516,0.0
2022-03-09,bull,-0.0116888279243409,0.0
2022-03-10,bull,0.015990351537897,0.0
